*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=fichinaMKI
*Date=16:15:21
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
103;;;102.965;-64.5023;-90;Bottom;TXT8
104;;;103.197;-34.3686;180;Bottom;TXT4
105;;;94.3102;-10.6875;0;Bottom;Copper Fill37
106;;;86.7156;-42.6153;0;Bottom;Copper Fill26
107;;;109.321;-31.7341;0;Bottom;Jumper9
108;;THT;76.5837;-41.7299;-90;Bottom;16Mhz
109;;THT;96.4004;-68.5597;90;Bottom;J6
110;;;97.7904;-65.3456;-90;Bottom;TXT8
111;;;62.8396;-42.3867;0;Bottom;Copper Fill22
112;;;92.7608;-60.0651;0;Bottom;Copper Fill15
113;;;21.4018;-46.8769;0;Bottom;TXT12
114;;THT;60.1897;-4.04487;0;Bottom;J7
115;;;30.1498;-22.9811;0;Bottom;Copper Fill34
116;;;77.5081;-65.3483;0;Bottom;Copper Fill54
117;;;102.921;-33.8269;0;Bottom;Copper Fill28
118;;;100.425;-65.1574;-90;Bottom;TXT8
119;;;89.535;-9.1381;0;Bottom;Copper Fill38
120;;;118.567;-33.5729;0;Bottom;Copper Fill39
121;;;7.39055;-71.2447;0;Bottom;Hole4
122;;;115.997;-3.57335;0;Bottom;TXT17
123;;;62.2808;-25.1147;0;Bottom;Copper Fill32
124;;;127.546;-73.3493;0;Bottom;Copper Fill59
125;;THT;107.48;-40.5099;0;Bottom;J2
126;;;57.0484;-43.5043;0;Bottom;Copper Fill23
127;;;90.3916;-64.5097;-90;Bottom;TXT8
128;;;126.511;-70.9589;90;Bottom;Power plug1
129;;;22.9489;-17.7487;0;Bottom;Copper Fill62
130;;;63.592;-38.0132;180;Bottom;TXT4
131;;;126.492;-25.0004;0;Bottom;Copper Fill48
132;;;103.29;-41.9886;180;Bottom;TXT4
133;;;118.491;-61.0303;0;Bottom;Copper Fill4
134;;;103.927;-29.3305;-90;Bottom;TXT7
135;5V;TO220 [THT];85.6667;-9.58458;-90;Bottom;7805
136;;;95.1357;-43.6821;0;Bottom;Copper Fill42
137;;;47.8536;-69.6663;0;Bottom;Copper Fill7
138;;;90.805;-7.9316;0;Bottom;Copper Fill50
139;;;62.7476;-30.4437;180;Bottom;TXT4
140;;dip;85.1807;-41.2146;0;Bottom;ATMEGA328P
141;;;77.5081;-62.8845;0;Bottom;Copper Fill55
142;;;105.283;-24.3781;0;Bottom;Copper Fill31
143;;;74.0918;-73.8827;0;Bottom;Copper Fill2
144;10pF;100 mil [THT, multilayer];72.5597;-42.1375;-90;Bottom;22pF
145;;3 mm [THT];98.7509;-38.5664;0;Bottom;LED
146;;;76.2762;-64.1164;0;Bottom;Copper Fill56
147;;;95.2504;-65.248;-90;Bottom;TXT8
148;;;84.9249;-45.5871;0;Bottom;Copper Fill41
149;;;128.524;-69.2345;0;Bottom;Copper Fill10
150;;;65.2653;-22.2953;0;Bottom;Copper Fill49
151;;;67.7619;-37.5803;-90;Bottom;TXT6
152;;;62.924;-40.4185;180;Bottom;TXT4
153;;;104.994;-64.8548;180;Bottom;TXT4
154;;;7.19073;-7.44469;0;Bottom;Hole3
155;;300 mil [THT];51.5907;-47.8601;90;Bottom;D2
156;;;136.991;-71.2447;0;Bottom;Hole2
157;;THT;59.2199;-33.9248;0;Bottom;J4
158;;;21.5646;-19.1076;0;Bottom;Copper Fill63
159;;;100.787;-44.8505;0;Bottom;Copper Fill24
160;;;62.8684;-52.3385;180;Bottom;TXT4
161;;;85.9028;-48.9145;0;Bottom;Copper Fill17
162;;;71.9836;-16.1231;0;Bottom;Copper Fill30
163;68;THT;43.9907;-65.4547;-90;Bottom;R5
164;;;63.9028;-25.4108;180;Bottom;TXT4
165;;rca_lock;51.1923;-70.4074;90;Bottom;VIDEO
166;;;93.1672;-11.7416;0;Bottom;Copper Fill44
167;;300 mil [THT];54.5906;-47.8601;90;Bottom;D1
168;;;32.3522;-56.5908;0;Bottom;TXT20
169;47µF;100 mil [THT, electrolytic];91.9907;-12.9145;-90;Bottom;100uF
170;;;98.8568;-22.6763;0;Bottom;Copper Fill33
